,Ticker
0,NVDA
1,MSFT
2,AAPL
3,AMZN
4,GOOGL
5,META
6,AVGO
7,BRK.B
8,TSLA
9,JPM
10,LLY
11,V
12,UNH
13,MA
14,XOM
15,PG
16,JNJ
17,ORCL
18,HD
19,COST
20,BAC
21,ABBV
22,WMT
23,CRM
